0,1,2,3,4,5
1738192080,4.21237646128606e-06,4.21237646128606e-06,4.16035302666065e-06,4.16035302666065e-06,0.84452469566
1738190340,4.25685039087894e-06,4.25685039087894e-06,4.21237646128606e-06,4.21237646128606e-06,0.54696259695
1738186560,4.09190819306699e-06,4.25685039087894e-06,4.09190819306699e-06,4.25685039087894e-06,0.0078890385
1738177620,4.08416093552433e-06,4.09190819306699e-06,4.08416093552433e-06,4.09190819306699e-06,1.0641121736
1738177500,4.14578274067724e-06,4.14578274067724e-06,4.08416093552433e-06,4.08416093552433e-06,1.14668436872
1738176600,4.160392135523e-06,4.160392135523e-06,4.14578274067724e-06,4.14578274067724e-06,1.17396423424
1738172580,4.1841262252432e-06,4.1841262252432e-06,4.160392135523e-06,4.160392135523e-06,34.49489230066
1738171680,4.2055097509616e-06,4.2055097509616e-06,4.1841262252432e-06,4.1841262252432e-06,1.32777806394
1738171200,4.20069646609419e-06,4.2055097509616e-06,4.20069646609419e-06,4.2055097509616e-06,22.80350823087
1738168380,4.19947176506001e-06,4.20069646609419e-06,4.19947176506001e-06,4.20069646609419e-06,0.46484508546
1738168320,4.19919007552135e-06,4.19947176506001e-06,4.19919007552135e-06,4.19947176506001e-06,0.4741934298
1738168200,4.20022475783495e-06,4.20022475783495e-06,4.19919007552135e-06,4.19919007552135e-06,0.48383838995
1738168140,4.20387009035509e-06,4.20387009035509e-06,4.20022475783495e-06,4.20022475783495e-06,0.49383429382
1738168020,4.20457979589841e-06,4.20457979589841e-06,4.20387009035509e-06,4.20387009035509e-06,0.50434988531
1738167960,4.20142220353067e-06,4.20457979589841e-06,4.20142220353067e-06,4.20457979589841e-06,0.5147296231
1738167840,4.20180340321023e-06,4.20180340321023e-06,4.20142220353067e-06,4.20142220353067e-06,0.5248398642
1738167780,4.1998003294069e-06,4.20180340321023e-06,4.1998003294069e-06,4.20180340321023e-06,0.53559947296
1738167660,4.1938471267346e-06,4.1998003294069e-06,4.1938471267346e-06,4.1998003294069e-06,0.54626953392
1738167600,4.12389343885326e-06,4.35888632725871e-06,4.11185578124718e-06,4.1938471267346e-06,236.42899195699
1738167480,4.12415561913203e-06,4.12415561913203e-06,4.12389343885326e-06,4.12389343885326e-06,0.55210756652
1738167420,4.12989058684295e-06,4.12989058684295e-06,4.12415561913203e-06,4.12415561913203e-06,0.56341088496
