0,1,2,3,4,5
1738757520,5.46928396865201e-06,5.46928396865201e-06,5.46850089591286e-06,5.46850089591286e-06,1.98637472858
1738755180,5.45275855032476e-06,5.46928396865201e-06,5.45275855032476e-06,5.46928396865201e-06,5.7680756561
1738753260,5.45615372034624e-06,5.45615372034624e-06,5.45275855032476e-06,5.45275855032476e-06,0.00943092892
1738752720,5.4655728523754e-06,5.4655728523754e-06,5.45615372034624e-06,5.45615372034624e-06,1.76463097678
1738751340,5.44077364261551e-06,5.4655728523754e-06,5.44077364261551e-06,5.4655728523754e-06,1.81258351052
1738750740,5.44713910116067e-06,5.44713910116067e-06,5.44077364261551e-06,5.44077364261551e-06,1.95571006848
1738750380,5.50125036494551e-06,5.50125036494551e-06,5.44713910116067e-06,5.44713910116067e-06,2.24274242442
1738750260,5.56781235715183e-06,5.56781235715183e-06,5.50125036494551e-06,5.50125036494551e-06,42.17017406976
1738749540,5.56184340166924e-06,5.56781235715183e-06,5.56184340166924e-06,5.56781235715183e-06,2.0013746944
1738748580,5.80853590351027e-06,5.80853590351027e-06,5.56184340166924e-06,5.56184340166924e-06,2.0202804
1738747440,6.06178429202646e-06,6.06178429202646e-06,5.80853590351027e-06,5.80853590351027e-06,193.07964855075
1738747380,6.07886630261559e-06,6.07886630261559e-06,6.06178429202646e-06,6.06178429202646e-06,7.48238834574
1738747320,5.87021790934142e-06,6.07886630261559e-06,5.87021790934142e-06,6.07886630261559e-06,6.058124667
1738747260,5.63129695513721e-06,5.87021790934142e-06,5.63129695513721e-06,5.87021790934142e-06,195.13
1738747200,6.06481849480029e-06,6.06481849480029e-06,5.63129695513721e-06,5.63129695513721e-06,186.3742036188
1738747140,6.13710725896867e-06,6.14746034692529e-06,6.06481849480029e-06,6.06481849480029e-06,27.100407396
1738747080,5.67541056663442e-06,6.13710725896867e-06,5.67541056663442e-06,6.13710725896867e-06,209.25617219827
1738747020,1.66026774801911e-05,1.82481986137241e-05,5.67541056663442e-06,5.67541056663442e-06,4388.75350024551
1738746960,1.62687394161698e-05,1.66026774801911e-05,1.62687394161698e-05,1.66026774801911e-05,68.01057
1738746840,6.57813868665776e-06,1.62687394161698e-05,6.57813868665776e-06,1.62687394161698e-05,2481.31564683648
1738746780,5.52842486680223e-06,6.57813868665776e-06,5.52842486680223e-06,6.57813868665776e-06,822.04
1738744860,5.53149539526217e-06,5.53149539526217e-06,5.52842486680223e-06,5.52842486680223e-06,0.0645191365
