0,1,2,3,4,5
1737444180,4.21309038547873e-06,4.26038407364217e-06,4.21309038547873e-06,4.26038407364217e-06,1.1832
1737440280,4.17671326467743e-06,4.21309038547873e-06,4.17671326467743e-06,4.21309038547873e-06,1.98777292008
1737439140,4.29051279416905e-06,4.29051279416905e-06,4.17671326467743e-06,4.17671326467743e-06,10.80246293357
1737422340,4.34168133355436e-06,4.34168133355436e-06,4.29051279416905e-06,4.29051279416905e-06,6.65949509941
1737419100,4.39197419095306e-06,4.39197419095306e-06,4.34168133355436e-06,4.34168133355436e-06,2.16053037415
1737417660,4.43541484477357e-06,4.43541484477357e-06,4.39197419095306e-06,4.39197419095306e-06,4.9017879546
1737417060,4.47658178534843e-06,4.47658178534843e-06,4.43541484477357e-06,4.43541484477357e-06,3.83345465575
1737415080,4.60718406587884e-06,4.60718406587884e-06,4.47658178534843e-06,4.47658178534843e-06,30.01686201792
1737413520,4.61376368941199e-06,4.61376368941199e-06,4.60718406587884e-06,4.60718406587884e-06,14.24748349673
1737413400,4.60247611222274e-06,4.61376368941199e-06,4.60247611222274e-06,4.61376368941199e-06,0.21492143232
1737413100,4.54301243209263e-06,4.60247611222274e-06,4.54301243209263e-06,4.60247611222274e-06,7.352964
1737412800,4.47877901133132e-06,4.54301243209263e-06,4.47877901133132e-06,4.54301243209263e-06,30.4623
1737412680,4.50069475827771e-06,4.50069475827771e-06,4.47877901133132e-06,4.47877901133132e-06,2.42188503186
1737412620,4.47351077261388e-06,4.50069475827771e-06,4.47351077261388e-06,4.50069475827771e-06,2.4337359
1737412440,4.45045155781378e-06,4.47351077261388e-06,4.45045155781378e-06,4.47351077261388e-06,1.41281851318
1737412140,4.47962693530684e-06,4.47962693530684e-06,4.45045155781378e-06,4.45045155781378e-06,0.95218038934
1737411960,4.43672202146189e-06,4.47962693530684e-06,4.4347482266986e-06,4.47962693530684e-06,14.93311053138
1737411900,4.75105706161435e-06,4.75105706161435e-06,4.43672202146189e-06,4.43672202146189e-06,89.58722636627
1737411840,5.30254778569899e-06,5.30254778569899e-06,4.75105706161435e-06,4.75105706161435e-06,115.36954593862
1737411780,6.07272196263443e-06,6.07272196263443e-06,5.30254778569899e-06,5.30254778569899e-06,272.06508690836
1737411720,7.63321943455924e-06,7.63321943455924e-06,6.07272196263443e-06,6.07272196263443e-06,590.56961850908
1737411660,8.7292066317905e-06,8.7292066317905e-06,7.63321943455924e-06,7.63321943455924e-06,434.87889734835
1737411600,9.19687479890298e-06,9.19687479890298e-06,8.7292066317905e-06,8.7292066317905e-06,146.60910536533
1737411540,1.60423704417738e-05,1.60423704417738e-05,9.19687479890298e-06,9.19687479890298e-06,1986.81648268286
1737411480,2.81465284486121e-05,2.81465284486121e-05,1.60423704417738e-05,1.60423704417738e-05,2723.66827827404
1737411420,3.57720581837016e-05,3.57720581837016e-05,2.81465284486121e-05,2.81465284486121e-05,1499.45039390285
1737411360,3.64665500791406e-05,3.64665500791406e-05,3.57720581837016e-05,3.57720581837016e-05,117.01925466404
1737411300,3.65819559651692e-05,3.65819559651692e-05,3.62682265232911e-05,3.64665500791406e-05,72.46378591548
1737411240,3.70229296959211e-05,3.70229296959211e-05,3.6580028024019e-05,3.65819559651692e-05,83.16428014017
1737411180,3.66609636868122e-05,3.75132672140454e-05,3.66609636868122e-05,3.70229296959211e-05,230.87890574555
1737411120,3.80521358189066e-05,4.01440685089888e-05,3.66609636868122e-05,3.66609636868122e-05,976.88866707483
1737411060,3.62611568856069e-05,3.93972544402481e-05,3.55897005714968e-05,3.80521358189066e-05,1661.62303189222
1737411000,4.47565649691209e-05,4.47565649691209e-05,3.62611568856069e-05,3.62611568856069e-05,1358.54714221751
1737410940,4.43021153400841e-05,4.47565649691209e-05,4.43021153400841e-05,4.47565649691209e-05,24.595
1737410880,4.40416139607432e-05,4.45147676534403e-05,4.40416139607432e-05,4.43021153400841e-05,58.3225437618
1737410820,3.48246424851515e-05,5.58099170524007e-05,3.479160479e-05,4.40416139607432e-05,8086.936994258
1737410760,3.59346009544531e-05,3.59346009544531e-05,3.48246424851515e-05,3.48246424851515e-05,225.52776642072
1737410700,3.68710841354498e-05,3.68710841354498e-05,3.56500751673004e-05,3.59346009544531e-05,252.55534270272
1737410640,4.21459937001467e-05,4.21459937001467e-05,3.67084222417587e-05,3.68710841354498e-05,897.03234186879
1737410580,4.52384784991166e-05,4.52384784991166e-05,4.21039713730444e-05,4.21459937001467e-05,598.20871007167
1737410520,4.31609072500705e-05,4.69374227900158e-05,4.31609072500705e-05,4.52384784991166e-05,1057.33785745912
1737410460,3.5412484750925e-05,4.32148937559192e-05,3.50745895392608e-05,4.31609072500705e-05,1675.69878345293
1737410400,3.720631042507e-05,3.720631042507e-05,3.42984520172335e-05,3.5412484750925e-05,1400.63243502705
1737410340,7.63447149381497e-05,7.63447149381497e-05,3.67234731076861e-05,3.720631042507e-05,15849.16661937264
1737410280,0.00010879831947562,0.000127458015816868,7.63447149381497e-05,7.63447149381497e-05,17158.55263866471
