timestamp,open,high,low,close,volume
1723683600,59000.01,59050.34,58173.48,58214.03,426.09676344
1723687200,58214.03,58566.29,58016.58,58410,470.42696767
1723690800,58413.73,58500.93,58346.09,58452.38,119.95621674
1723694400,58452.38,58475.31,58157.87,58389.15,198.8043941
1723698000,58389.14,58642.16,58188.01,58321.67,136.58301155
1723701600,58325.13,58402.49,57830,58109.54,503.87538497
1723705200,58107.55,58160.83,57717.89,58046.78,277.15704789
1723708800,58046.79,58380.39,57958.24,58370,303.635056
1723712400,58369.99,58561.07,58292.5,58419.24,132.02031335
1723716000,58416.12,58551.37,58300.01,58366.5,114.5549617
1723719600,58366.5,58881.92,58357.93,58744.41,199.89886511
1723723200,58744.4,59380,58604.45,58800.18,708.64845724
1723726800,58800.18,59493.37,58554,59460.15,738.20743379
1723730400,59456.13,59761.96,59214.65,59429.45,921.97038362
1723734000,59429.45,59788.91,59286.26,59697.8,892.48518419
1723737600,59697.8,59883.49,59448.13,59549.23,760.81910317
1723741200,59550.36,59566.22,58791.93,58896.36,893.06122471
1723744800,58896.36,58896.36,57539.17,57876.17,1759.02543044
1723748400,57876.15,57976.3,56700,57036.01,1852.03760581
1723752000,57048.39,57144.78,56120,56693.41,1184.43343147
1723755600,56693.53,57657.44,56630.62,57642.59,638.37994192
1723759200,57642.58,57887.62,57400,57627.8,603.39531666
1723762800,57627.8,57852.21,57480.86,57543.61,347.0696898
1723766400,57543.57,57674.67,57360.17,57471.44,381.02006965
1723770000,57471.44,57618.34,57096.56,57548.24,325.465805
1723773600,57555.69,58514.67,57335,58205.18,550.56998448
1723777200,58205.17,58232.48,57808.21,57904.53,363.3515178
1723780800,57904.53,58320.45,57806.94,58312.27,262.1962103
1723784400,58312.84,58333.32,58121.93,58194.89,155.11250362
1723788000,58194.89,58652.54,58061.18,58532.47,289.64152193
1723791600,58539.04,58578.19,58335.54,58469.25,277.21967604
1723795200,58469.25,58617.85,58336.35,58372.79,238.79710505
1723798800,58372.78,58688.49,58268.7,58683.15,311.58969501
1723802400,58683.14,58683.15,58312.94,58447.57,186.14653287
1723806000,58445.33,58640.08,58236.35,58412.6,242.15297985
1723809600,58412.61,58530.24,57548.48,57873.33,966.9689764
1723813200,57884.08,58914.47,57757.1,58364.64,1196.77553046
1723816800,58361.49,58489.44,57878.76,58032.88,540.30393112
1723820400,58032.88,58230.15,57655.69,58088.17,339.21826905
1723824000,58088.16,58743.44,58002.15,58584.35,568.5876222
1723827600,58584.35,59365.67,58403.64,59233.27,808.42029605
1723831200,59229.28,59604.95,59091.83,59492.59,1102.1865623
1723834800,59498.58,59871.61,59434.01,59710.88,1250.00681388
1723838400,59711.88,59738.8,59208.04,59281.35,546.23672345
1723842000,59275.04,59330.4,58940.27,59030.91,449.46647791
1723845600,59030.91,59189.6,58969.17,58969.17,286.71231961
1723849200,58969.18,59064.9,58736.79,58888.99,292.07075818
1723852800,58888.99,59270.27,58803.45,59194.71,205.89349907
1723856400,59194.71,59403.56,59128.43,59263.75,160.27129673
1723860000,59262.93,59357.18,59119.17,59160.98,155.8462999
1723863600,59161.41,59197.03,59005.81,59166.25,110.98614374
1723867200,59166.25,59281.06,59088.01,59229.51,102.91836018
1723870800,59227.4,59260.89,59149.27,59168.77,70.96222435
1723874400,59168.76,59235.54,59146.82,59165.47,43.4459838
1723878000,59165.05,59269.26,59054.22,59250.53,60.01268414
1723881600,59250.51,59297.41,59162.05,59283.82,59.77410457
1723885200,59283.82,59470.63,59225.87,59326.15,104.16338107
