0,1,2,3,4,5
1738070040,7.022962095803e-06,7.04557620129057e-06,7.022962095803e-06,7.04557620129057e-06,9.87813866067
1738069380,7.05875130231973e-06,7.05875130231973e-06,7.022962095803e-06,7.022962095803e-06,0.11694891735
1738068780,7.13730622825285e-06,7.13730622825285e-06,7.05875130231973e-06,7.05875130231973e-06,34.98023778387
1738067640,7.15058313546201e-06,7.15058313546201e-06,7.13730622825285e-06,7.13730622825285e-06,0.11400406145
1738067520,7.23430036490408e-06,7.23430036490408e-06,7.15058313546201e-06,7.15058313546201e-06,6.07997509302
1738063680,7.32117421194155e-06,7.32117421194155e-06,7.23430036490408e-06,7.23430036490408e-06,32.7564367767
1738063200,7.27418224871771e-06,7.32117421194155e-06,7.27418224871771e-06,7.32117421194155e-06,0.23866
1738059360,7.30258800466444e-06,7.30258800466444e-06,7.27418224871771e-06,7.27418224871771e-06,1.34872137825
1738059000,7.26794096273819e-06,7.30258800466444e-06,7.26794096273819e-06,7.30258800466444e-06,0.0020009072
1738058220,7.23841996146847e-06,7.30630882343778e-06,7.23841996146847e-06,7.26794096273819e-06,5.3667959331
1738057680,7.27508468756109e-06,7.27508468756109e-06,7.23841996146847e-06,7.23841996146847e-06,0.0103095738
1738056240,7.26667022687725e-06,7.27508468756109e-06,7.26667022687725e-06,7.27508468756109e-06,2.3703
1738055340,7.28086377207853e-06,7.28086377207853e-06,7.26667022687725e-06,7.26667022687725e-06,7.9894283538
1738054440,7.27712431852991e-06,7.28086377207853e-06,7.27712431852991e-06,7.28086377207853e-06,0.87992819244
1738054140,7.32629634286628e-06,7.32629634286628e-06,7.27712431852991e-06,7.27712431852991e-06,0.58293817594
1738052640,7.39395974599698e-06,7.39395974599698e-06,7.32629634286628e-06,7.32629634286628e-06,16.48803269414
1738051740,7.48891495694991e-06,7.48891495694991e-06,7.39395974599698e-06,7.39395974599698e-06,46.18217144183
1738050960,7.52744811210914e-06,7.52744811210914e-06,7.48891495694991e-06,7.48891495694991e-06,0.40684199761
1738050240,7.55583823855027e-06,7.55583823855027e-06,7.52744811210914e-06,7.52744811210914e-06,0.28472819151
1738049820,7.56656848900871e-06,7.56656848900871e-06,7.55583823855027e-06,7.55583823855027e-06,10.35424131584
1738047900,7.55520175877782e-06,7.56656848900871e-06,7.55520175877782e-06,7.56656848900871e-06,2.15271513
1738046880,7.60200925223545e-06,7.60200925223545e-06,7.55520175877782e-06,7.55520175877782e-06,0.51903658162
1738046820,7.698607171661e-06,7.698607171661e-06,7.60200925223545e-06,7.60200925223545e-06,42.19892214713
