time,open,high,low,close,volume,usd_vol,price_change,vol_change,norm_open,mov_in_min
1728314340.0,5.791634830058981e-05,6.548193209497415e-05,5.701629080405643e-05,6.127869244192398e-05,3155.8435222229605,0.18808044860418202,0.058055181999448126,0.0,1.0,0.14617014952290266
1728314400.0,6.127869244192398e-05,7.83056388262822e-05,4.6273392312731586e-05,4.6273392312731586e-05,16949.279381737873,0.911465166297504,-0.24486978313731902,3.8461452163786323,1.0580551819994481,0.5227305811707508
1728314460.0,4.6273392312731586e-05,5.279949387810467e-05,2.8260341664476097e-05,4.47759384893779e-05,15400.210201825555,0.7010894165440181,-0.03236101242012627,-0.2308105208321464,0.7989694390359267,0.5303080450161186
1728314520.0,4.47759384893779e-05,5.223821307726589e-05,4.097352673594209e-05,4.097352673594209e-05,4882.451986238294,0.20933382340411757,-0.08492087227468946,-0.701416369346984,0.7731139790959837,0.25157901143704886
1728314580.0,4.097352673594209e-05,4.845098724462507e-05,4.069657592139997e-05,4.845098724462507e-05,3043.2511753943927,0.13607062864021666,0.18249492060744998,-0.3499825951321149,0.7074604656233967,0.18925418290690876
1728314640.0,4.845098724462507e-05,5.0095858788283475e-05,3.5717365487299134e-05,3.6963979775075286e-05,4866.193428718853,0.20782287561275176,-0.23708510647167674,0.5273162010756538,0.8365684071302482,0.29676368054975855
1728314700.0,3.6963979775075286e-05,4.904298202322788e-05,3.583099232889526e-05,4.611500948757966e-05,3840.860884375006,0.15954742008617126,0.2475661378506351,-0.23229134610058477,0.6382304972549322,0.3574287664566204
1728314760.0,4.611500948757966e-05,4.611500948757966e-05,3.5992337266341317e-05,3.5992337266341317e-05,2423.0380748385624,0.09947461370436149,-0.2195092733086117,-0.3765200737772166,0.7962347565188261,0.2195092733086117
1728314820.0,3.5992337266341317e-05,3.600331480202377e-05,2.3281132912993823e-05,2.359691973321271e-05,2625.3732201926027,0.07822201976890188,-0.3443904584857381,-0.2136484188681779,0.6214538437323193,0.3534691785889453
1728314880.0,2.359691973321271e-05,2.654011933163579e-05,2.2862628978655027e-05,2.611322659634015e-05,1704.9653796322025,0.04237703925416922,0.10663709041590423,-0.4582466755605724,0.40743106956162156,0.1558462034264874
1728314940.0,2.611322659634015e-05,2.611322659634015e-05,1.3072725178733155e-05,1.356879405042032e-05,3047.1496022738943,0.060458526715600314,-0.4803861560209481,0.42668123539688224,0.4508783333647128,0.4993829992435581
1728315000.0,1.356879405042032e-05,1.4550712768359984e-05,1.2697139518609363e-05,1.296365747298482e-05,1182.6172805154304,0.01568886783300844,-0.04459766838429938,-0.7405019823455244,0.23428262396650684,0.13660559979486184
1728315060.0,1.296365747298482e-05,1.333617071115961e-05,1.248124435080994e-05,1.3266095439196346e-05,636.4248452799025,0.008346633219432483,0.0233296788997843,-0.46799008645661055,0.22383416519464505,0.06594792882573955
