0,1,2,3,4,5
1738905000.0,9.71003268010839e-05,9.91984473576138e-05,3.15851319357822e-05,4.09592908985828e-05,19013.85857544135
1738905060.0,4.09592908985828e-05,4.84203259194162e-05,2.73353353347592e-05,3.79833670589594e-05,11777.91112181981
1738905120.0,3.79833670589594e-05,3.83924027276407e-05,2.79376914060249e-05,3.18035211170637e-05,4616.23995245375
1738905180.0,3.18035211170637e-05,3.20399402110894e-05,2.43026990149348e-05,2.44132196153455e-05,2119.05955461645
1738905240.0,2.44132196153455e-05,2.58500390797641e-05,2.38475814621251e-05,2.53363228372493e-05,672.77298025351
1738905300.0,2.53363228372493e-05,3.05415894930398e-05,2.52336686576857e-05,3.01931132514054e-05,1052.3856843204
1738905360.0,3.01931132514054e-05,3.01931132514054e-05,2.87313346258673e-05,2.90155624713912e-05,639.42774578654
1738905420.0,2.90155624713912e-05,3.00566083359847e-05,2.55009493156804e-05,2.55009493156804e-05,1434.75950574182
1738905480.0,2.55009493156804e-05,2.60920945807634e-05,2.54773990510402e-05,2.59604303709035e-05,116.39871718183
1738905540.0,2.59604303709035e-05,2.59604303709035e-05,2.44729099550099e-05,2.44729099550099e-05,276.10002940349
1738905600.0,2.44729099550099e-05,2.56013264716995e-05,2.32612866325543e-05,2.32612866325543e-05,667.56596156193
1738905660.0,2.32612866325543e-05,2.32612866325543e-05,2.31065258494063e-05,2.31951248729965e-05,46.89631715095
1738905720.0,2.31951248729965e-05,3.00898141972005e-05,2.31951248729965e-05,3.00112347639513e-05,1244.78868894683
1738905780.0,3.00112347639513e-05,3.01308159947092e-05,2.97923833690564e-05,2.99338133559988e-05,76.14175909591
1738905840.0,2.99338133559988e-05,3.15481174676281e-05,2.99338133559988e-05,3.1277750271495e-05,306.6111018381
1738905900.0,3.1277750271495e-05,3.1277750271495e-05,2.49531716671648e-05,2.52972385666923e-05,1270.52534115984
1738905960.0,2.52972385666923e-05,2.56789013188294e-05,2.52102036154798e-05,2.55509371283695e-05,132.75557697348
1738906020.0,2.55509371283695e-05,2.7336360252126e-05,2.5550075745296e-05,2.7336360252126e-05,432.09659214364
1738906080.0,2.7336360252126e-05,2.83905265746144e-05,2.66145827319898e-05,2.66145827319898e-05,97.32889403228
1738906140.0,2.66145827319898e-05,2.66145827319898e-05,2.51316172427536e-05,2.51316172427536e-05,340.74400443147
1738906200.0,2.51316172427536e-05,2.51316172427536e-05,2.24412416183387e-05,2.25041121236178e-05,556.72823605517
1738906260.0,2.25041121236178e-05,2.25041121236178e-05,1.94835214177409e-05,1.95954776711208e-05,589.84912635969
1738906320.0,1.95954776711208e-05,1.95954776711208e-05,1.84234997089838e-05,1.84234997089838e-05,226.42313600086
1738906380.0,1.84234997089838e-05,1.89060520248876e-05,1.82251582388509e-05,1.89060520248876e-05,175.54597258852
1738906440.0,1.89060520248876e-05,1.92568938397061e-05,1.87640847920142e-05,1.92568938397061e-05,220.12336158586
1738906500.0,1.92568938397061e-05,1.99924040454529e-05,1.92568938397061e-05,1.99924040454529e-05,240.98404591442
1738906560.0,1.99924040454529e-05,2.07976943459172e-05,1.99924040454529e-05,2.07976943459172e-05,110.59556861624
1738906620.0,2.07976943459172e-05,2.09957791971959e-05,2.07976943459172e-05,2.09957791971959e-05,37.140822
1738906680.0,2.09957791971959e-05,2.114548247674e-05,2.09957791971959e-05,2.114548247674e-05,21.47489722
1738906740.0,2.114548247674e-05,2.15229599231304e-05,2.114548247674e-05,2.15229599231304e-05,121.07854512947
