0,1,2,3,4,5
1730686320,3.960105173477864e-06,3.960105173477864e-06,3.941547215546763e-06,3.941547215546763e-06,14.616345877864244
1730686140,4.046999492542939e-06,4.046999492542939e-06,3.960105173477864e-06,3.960105173477864e-06,1.01649856831582
1730678880,4.0668265244321145e-06,4.0668265244321145e-06,4.046999492542939e-06,4.046999492542939e-06,80.83935926496589
1730678820,3.9933803691698335e-06,4.0668265244321145e-06,3.9933803691698335e-06,4.0668265244321145e-06,81.23540689407986
1730678400,4.030437718802611e-06,4.030437718802611e-06,3.9933803691698335e-06,3.9933803691698335e-06,32.38576277719848
1730676360,4.047737355260458e-06,4.047737355260458e-06,4.030437718802611e-06,4.030437718802611e-06,8.6966913003626
1730675580,4.081548587072687e-06,4.081548587072687e-06,4.047737355260458e-06,4.047737355260458e-06,0.8682990595129951
1730669400,4.067521640085142e-06,4.081548587072687e-06,4.067521640085142e-06,4.081548587072687e-06,7.08556905568645
1730667240,4.071587869839062e-06,4.071587869839062e-06,4.067521640085142e-06,4.067521640085142e-06,6.485266911003407
1730667000,4.078287366290154e-06,4.078287366290154e-06,4.071587869839062e-06,4.071587869839062e-06,0.24802026479506717
1730666940,4.143670601395377e-06,4.143670601395377e-06,4.078287366290154e-06,4.078287366290154e-06,5.286436765355177
1730666040,4.322183940341972e-06,4.322183940341972e-06,4.143670601395377e-06,4.143670601395377e-06,64.476235474476
1730665980,4.764172624881138e-06,4.764172624881138e-06,4.322183940341972e-06,4.322183940341972e-06,209.15250261334708
1730665920,5.198586915931107e-06,5.198586915931107e-06,4.764172624881138e-06,4.764172624881138e-06,291.62048021133313
1730665860,5.110496238212358e-06,5.222369892906021e-06,5.110496238212358e-06,5.198586915931107e-06,160.2667778520593
1730665800,7.855433894907424e-06,7.855433894907424e-06,5.110496238212358e-06,5.110496238212358e-06,1023.7717715841593
1730665740,1.2345577306877336e-05,1.2345577306877336e-05,7.855433894907424e-06,7.855433894907424e-06,2530.902481902505
1730665680,1.099172274828011e-05,1.2345577306877336e-05,1.0721221150205188e-05,1.2345577306877336e-05,433.58048260589214
1730665620,9.55537882005971e-06,1.1179592276455969e-05,9.55537882005971e-06,1.099172274828011e-05,723.6610134622782
1730665560,9.600008892918426e-06,9.600008892918426e-06,9.55537882005971e-06,9.55537882005971e-06,118.71792917558292
1730665500,8.813309652572335e-06,9.600008892918426e-06,8.813309652572335e-06,9.600008892918426e-06,120.47719402801557
1730665260,6.919169031232045e-06,8.813309652572335e-06,6.919169031232045e-06,8.813309652572335e-06,594.2908613603604
1730665200,4.836222621260774e-06,6.919169031232045e-06,4.787708385388314e-06,6.919169031232045e-06,1102.5496349227735
1730665140,3.983368373823526e-06,4.836222621260774e-06,3.983368373823526e-06,4.836222621260774e-06,402.32207559142205
1730661540,3.98380298429723e-06,3.98380298429723e-06,3.983368373823526e-06,3.983368373823526e-06,7.150155783907347
1730660940,3.991049631109071e-06,3.991049631109071e-06,3.98380298429723e-06,3.98380298429723e-06,1.59148254546983
1730660580,3.9703240140900515e-06,3.991049631109071e-06,3.9703240140900515e-06,3.991049631109071e-06,1.5943774958375285
1730660520,3.976651243998819e-06,3.976651243998819e-06,3.9703240140900515e-06,3.9703240140900515e-06,0.9289851807016782
1730659920,4.028336778092514e-06,4.028336778092514e-06,3.976651243998819e-06,3.976651243998819e-06,10.369003434240508
1730659440,4.074352640040542e-06,4.074352640040542e-06,4.028336778092514e-06,4.028336778092514e-06,18.20487621326765
1730659080,4.0913412406293715e-06,4.0913412406293715e-06,4.074346406407172e-06,4.074352640040542e-06,0.002556537589713856
1730658480,4.113822679631129e-06,4.113822679631129e-06,4.0913412406293715e-06,4.0913412406293715e-06,3.1978990928913364
1730658420,4.110114250037542e-06,4.113822679631129e-06,4.110114250037542e-06,4.113822679631129e-06,1.606967672343594
1730658360,4.08776230465996e-06,4.110114250037542e-06,4.08776230465996e-06,4.110114250037542e-06,1.6070535050923085
1730658000,4.114471587508354e-06,4.114471587508354e-06,4.08776230465996e-06,4.08776230465996e-06,0.03795450181768718
1730657580,4.1433014047114274e-06,4.1433014047114274e-06,4.114471587508354e-06,4.114471587508354e-06,11.123579329824985
1730656920,4.703798577352876e-06,4.703798577352876e-06,4.1433014047114274e-06,4.1433014047114274e-06,12.456025120640541
1730656800,4.130291676702421e-06,5.3628330834739865e-06,4.130291676702421e-06,4.703798577352876e-06,931.2902720298005
1730656260,4.128496785151025e-06,4.134937412837851e-06,4.128496785151025e-06,4.130291676702421e-06,3.7993725026690557
1730655180,4.14193524365637e-06,4.14193524365637e-06,4.128496785151025e-06,4.128496785151025e-06,1.7034568929553324
1730655120,4.124765551187766e-06,4.14193524365637e-06,4.124765551187766e-06,4.14193524365637e-06,4.019968945289883
1730655060,4.100157029369169e-06,4.124765551187766e-06,4.100157029369169e-06,4.124765551187766e-06,9.97847786714144
1730654940,4.097207998127815e-06,4.100157029369169e-06,4.097207998127815e-06,4.100157029369169e-06,8.034866295984363
1730654880,4.132464099118852e-06,4.132464099118852e-06,4.097207998127815e-06,4.097207998127815e-06,22.50890902676847
1730654820,4.158980069030485e-06,4.158980069030485e-06,4.132464099118852e-06,4.132464099118852e-06,6.64947773000246
1730654760,4.120236431405371e-06,4.168509430064458e-06,4.120236431405371e-06,4.158980069030485e-06,36.6274522375538
1730654700,4.123163402530071e-06,4.123163402530071e-06,4.120236431405371e-06,4.120236431405371e-06,0.34958981617520957
1730654640,4.145244457655108e-06,4.145244457655108e-06,4.123163402530071e-06,4.123163402530071e-06,2.0230727759110203
1730654520,4.164001201835211e-06,4.164001201835211e-06,4.145244457655108e-06,4.145244457655108e-06,15.91619585649238
1730653980,4.1722922762078765e-06,4.1722922762078765e-06,4.164001201835211e-06,4.164001201835211e-06,3.51917369783318
1730653920,4.130087876353007e-06,4.176523952904997e-06,4.130087876353007e-06,4.1722922762078765e-06,20.789220981505466
